Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
1,11,2019,20,44,29,BEG,4.00,10,2.50,NF,21,16,10,6,1,0,0,0,0,17,0,0,13,0,0,2,3,562,10,10
1,11,2019,20,45,0,BEG,7.43,22,2.96,NF,11,31,8,4,0,0,0,0,0,38,0,0,32,0,0,4,4,1262,15,17
2,11,2019,20,34,1,BEG,3.97,11,2.77,NF,20,20,9,4,1,0,0,0,0,20,0,0,17,0,0,3,4,578,11,11
2,11,2019,20,34,11,BEG,4.36,11,2.52,NF,20,22,9,2,1,0,0,0,0,17,0,0,14,0,0,3,4,731,11,11
2,11,2019,20,34,25,BEG,7.54,23,3.05,NF,14,23,10,7,0,0,0,0,0,34,0,0,27,0,0,3,3,1078,18,20
2,11,2019,20,34,48,BEG,6.48,19,2.93,NF,12,29,10,3,0,0,0,0,0,29,0,0,27,0,0,4,2,914,17,15
2,11,2019,20,34,59,BEG,7.89,18,2.28,NF,14,23,13,3,1,0,0,0,0,32,0,0,26,0,0,4,3,1066,15,15
3,11,2019,10,6,35,BEG,8.30,22,2.65,NF,8,30,16,0,0,0,0,0,0,34,0,0,28,0,0,3,4,1191,18,19
3,11,2019,10,6,56,BEG,7.86,22,2.79,NF,17,19,14,4,0,0,0,0,0,27,0,0,25,0,0,2,3,835,17,20
3,11,2019,10,7,22,BEG,5.59,17,3.04,NF,17,20,14,2,1,0,0,0,0,19,0,0,17,0,0,1,3,709,15,15
3,11,2019,10,8,3,BEG,6.68,22,3.29,NF,17,20,14,3,0,0,0,0,0,28,0,0,26,0,0,2,2,794,17,18
3,11,2019,10,8,21,BEG,7.30,24,3.28,NF,14,24,14,2,0,0,0,0,0,35,0,0,31,0,0,3,2,1211,14,14
3,11,2019,10,8,40,BEG,7.96,20,2.51,NF,12,29,11,2,0,0,0,0,0,32,0,0,25,0,0,3,3,1073,15,15
3,11,2019,10,9,3,BEG,5.88,16,2.72,NF,14,29,10,1,0,0,0,0,0,21,0,0,20,0,0,3,6,779,12,12
3,11,2019,10,9,10,BEG,5.82,14,2.40,NF,15,24,15,0,0,0,0,0,0,23,0,0,18,0,0,3,6,836,14,14
3,11,2019,10,9,38,BEG,9.39,25,2.66,Flag,12,24,15,3,0,0,0,0,0,26,2,9,24,2,4,3,1,1189,17,18
3,11,2019,12,42,39,BEG,6.95,16,2.30,Flag,15,24,14,0,1,0,0,0,0,18,3,4,16,3,3,4,3,867,14,15
3,11,2019,12,42,45,BEG,5.81,19,3.27,NF,18,16,15,5,0,0,0,0,0,24,0,0,22,0,0,2,2,722,16,19
3,11,2019,12,42,51,BEG,4.49,9,2.00,NF,21,18,10,5,0,0,0,0,0,11,0,0,9,0,0,1,3,538,9,9
3,11,2019,12,43,24,BEG,10.77,25,2.32,Flag,11,26,13,4,0,0,0,0,0,31,3,11,26,2,4,3,3,1181,19,20
3,11,2019,12,43,35,BEG,9.48,23,2.42,Flag,14,23,13,4,0,0,0,0,0,22,4,8,17,4,5,3,3,1146,18,16
3,11,2019,12,43,41,BEG,4.74,13,2.74,Flag,22,17,9,6,0,0,0,0,0,14,1,4,12,1,4,2,2,546,10,13
3,11,2019,12,44,11,BEG,4.27,12,2.81,NF,19,22,8,3,2,0,0,0,0,19,0,0,18,0,0,2,4,692,9,8
3,11,2019,12,44,18,BEG,5.91,18,3.04,NF,18,19,14,2,1,0,0,0,0,24,0,0,21,0,0,2,2,765,12,13
4,11,2019,18,12,16,BEG,4.60,16,3.47,NF,18,22,10,4,0,0,0,0,0,23,0,0,19,0,0,2,3,678,13,14
4,11,2019,18,12,23,BEG,6.30,11,1.74,NF,21,21,7,4,1,0,0,0,0,23,0,0,19,0,0,4,3,783,10,10
4,11,2019,18,12,34,BEG,6.31,15,2.37,NF,19,18,13,4,0,0,0,0,0,31,0,0,23,0,0,3,4,789,14,15
4,11,2019,18,12,43,BEG,6.25,18,2.88,NF,16,24,11,1,2,0,0,0,0,24,0,0,21,0,0,2,2,891,12,12
4,11,2019,18,12,55,BEG,5.20,11,2.11,NF,18,19,13,3,1,0,0,0,0,21,0,0,18,0,0,3,4,764,9,9
4,11,2019,18,13,3,BEG,6.80,16,2.35,NF,15,25,12,2,0,0,0,0,0,28,0,0,25,0,0,4,3,945,12,13
4,11,2019,18,13,9,BEG,4.84,13,2.68,NF,21,18,9,4,2,0,0,0,0,20,0,0,16,0,0,3,2,649,13,13
4,11,2019,18,13,21,BEG,9.12,27,2.96,NF,11,26,15,2,0,0,0,0,0,45,0,0,37,0,0,3,4,1278,19,18
4,11,2019,18,13,29,BEG,6.09,13,2.13,NF,14,27,12,1,0,0,0,0,0,25,0,0,23,0,0,4,4,871,11,13
4,11,2019,18,13,54,BEG,6.29,16,2.54,NF,19,18,11,6,0,0,0,0,0,25,0,0,20,0,0,2,1,716,12,12
4,11,2019,18,14,2,BEG,4.45,8,1.79,NF,23,23,2,4,2,0,0,0,0,11,0,0,9,0,0,2,3,478,8,8
4,11,2019,18,14,17,BEG,3.88,9,2.31,NF,21,21,10,2,0,0,0,0,0,13,0,0,12,0,0,2,6,637,9,9
4,11,2019,18,14,26,BEG,3.80,8,2.10,NF,25,15,9,3,2,0,0,0,0,13,0,0,11,0,0,2,3,550,8,8
4,11,2019,18,14,50,BEG,5.82,17,2.92,NF,15,28,8,3,0,0,0,0,0,24,0,0,22,0,0,3,4,835,13,13
4,11,2019,18,15,1,BEG,5.48,15,2.73,NF,17,19,15,3,0,0,0,0,0,24,0,0,21,0,0,3,3,883,12,13
4,11,2019,18,15,18,BEG,6.18,17,2.75,NF,15,23,12,4,0,0,0,0,0,24,0,0,22,0,0,3,6,858,15,15
4,11,2019,19,40,25,BEG,9.67,21,2.17,NF,17,19,16,2,0,0,0,0,0,57,0,0,24,0,0,2,1,956,14,14
4,11,2019,19,41,5,BEG,7.13,13,1.82,NF,26,13,7,6,2,0,0,0,0,49,0,0,16,0,0,2,3,592,12,13
4,11,2019,19,42,20,BEG,5.79,8,1.38,NF,22,20,9,3,0,0,0,0,0,36,0,0,8,0,0,1,3,459,8,8
4,11,2019,19,42,37,BEG,8.79,11,1.25,NF,23,19,10,2,0,0,0,0,0,73,0,0,16,0,0,2,3,679,9,9
4,11,2019,19,44,4,BEG,10.36,19,1.83,NF,17,23,9,5,0,0,0,0,0,89,0,0,24,0,0,2,1,688,13,14
4,11,2019,19,44,48,BEG,8.49,11,1.29,NF,22,22,8,1,1,0,0,0,0,71,0,0,15,0,0,2,3,621,11,10
4,11,2019,19,45,19,BEG,10.68,12,1.12,NF,17,21,12,4,0,0,0,0,0,81,0,0,19,0,0,5,5,777,12,12
4,11,2019,19,45,46,BEG,11.73,18,1.53,NF,17,22,9,5,1,0,0,0,0,113,0,0,22,0,0,3,3,742,14,15
4,11,2019,19,46,40,BEG,10.15,13,1.28,NF,16,25,8,5,0,0,0,0,0,73,0,1,19,0,0,3,4,750,11,11
4,11,2019,19,46,57,BEG,8.08,12,1.48,NF,27,10,11,4,2,0,0,0,0,78,0,0,15,0,0,2,2,570,9,9
4,11,2019,19,47,39,BEG,11.55,22,1.90,NF,12,23,16,3,0,0,0,0,0,100,0,0,29,0,0,3,4,865,19,20
4,11,2019,19,48,33,BEG,12.41,23,1.85,NF,20,23,6,3,2,0,0,0,0,100,0,0,27,0,0,1,1,889,15,15
4,11,2019,19,49,17,BEG,5.96,12,2.01,NF,21,16,15,2,0,0,0,0,0,45,0,0,14,0,0,2,3,563,11,11
5,11,2019,15,44,55,BEG,6.08,17,2.79,NF,13,26,13,2,0,0,0,0,0,24,0,0,22,0,0,3,3,937,15,13
5,11,2019,15,45,27,BEG,6.61,20,3.02,NF,19,20,11,3,1,0,0,0,0,28,0,0,23,0,0,2,1,875,14,16
5,11,2019,15,45,41,BEG,4.34,11,2.53,NF,21,17,10,5,1,0,0,0,0,16,0,0,13,0,0,2,2,559,9,10
5,11,2019,15,45,57,BEG,5.48,14,2.55,NF,18,20,12,4,0,0,0,0,0,23,0,0,20,0,0,3,4,742,11,11
5,11,2019,15,46,8,BEG,10.09,27,2.67,NF,11,27,12,4,0,0,0,0,0,43,0,0,36,0,0,4,2,1510,18,18
5,11,2019,15,46,50,BEG,6.15,13,2.11,NF,18,22,12,2,0,0,0,0,0,25,0,0,23,0,0,4,4,762,10,12
5,11,2019,15,46,59,BEG,5.95,18,3.02,NF,17,23,10,3,1,0,0,0,0,26,0,0,22,0,0,2,2,851,13,13
5,11,2019,15,47,25,BEG,5.72,14,2.44,NF,15,27,7,5,0,0,0,0,0,26,0,0,20,0,0,4,7,857,13,13
5,11,2019,15,47,30,BEG,3.33,10,3.00,NF,25,14,13,2,0,0,0,0,0,13,0,0,11,0,0,1,4,549,9,10
